Date,Description,Amount,Target_Account
,CHATGPT SUBSCRIPTION HTTPSOPENALCUSA,,6660
,Supplemento CHF all'estero,,6700
,linkedln Ads 9758790344 LINKEDIN.COM IRL,,6600
,www.smallinvoice.com Kehrsatz,,6660
,Supplemento CHF all'estero,,6700
,linkedln Ads 9762201334 LINKEDIN.COM IRL,,6600
,Supplemento CHF all'estero,,6700
,AMZN Mktp IT*F64PU1245 AMAZON.IT LUX (Hub USB),,6500
,HubSpot Germany GmbH Berlin DEU,,6660
,Supplemento CHF all'estero,,6700
,linkedln Ads 9802348484 LINKEDIN.COM IRL,,6600
,Supplemento CHF all'estero,,6700
,LinkedIn Ads 9804388904 LINKEDIN.COM IRL Continuit� / Commerciante abbonamenti,,6600
,Supplemento CHF all'estero,,6700
,LinkedIn Ads 9814360894 LINKEDIN.COM IRL Continuit� / Commerciante abbonamenti,,6600
,SendinBlue Paris FRA Elaborazione dati,,6660
,Supplemento CHF all'estero,,6700
,AMZN Mktp IT*4T0IA7AE5 AMAZON.IT LUX (Libro Bias),,6500
,Dropbox 6YGQQVKXJ354 db.tt/cchelp IRL Reti di computer/Servizi d'info,,6660
,CHATGPT SUBSCRIPTION HTTPSOPENALCUSA,,6660
,www.smallinvoice.com Kehrsatz,,6660
,HubSpot Germany GmbH Berlin DEU,,6660
,Rist Grotto Serta Lamone,,4402
,PIRELLI 9 MILANO ITA,,5890
,LA RINASCENTE DUOMO 29 MILANO ITA,,5890
,HOTEL AURIGA MILANO ITA,,5890
,SendinBlue Paris FRA,,6660
,WWW.AMAZON* 404-285151 LUXEMBOURG LUX (Libro FSEA),,6500
,CHATGPT SUBSCRIPTION HTTPSOPENAI.CUSA Negozio di informatica,,6660
,HubSpot Germany GmbH Berlin DEU Elaborazione dati,,6660
,HubSpot Germany GmbH Berlin DEU Elaborazione dati,,6660
,www.smallinvoice.com Kehrsatz Negozio di informatica,,6660
,HubSpot Germany GmbH Berlin DEU Elaborazione dati,,6660
,Ristorante La Rupe Di SanLamone,,6650
,Lidl Gravesano Gravesano,,6500
,Supplemento CHF all'estero,,6700
,Trattoria Anema e Core Viganello,,6650
,Lidl Gravesano Gravesano,,6500
,AMZN Mktp IT*HF7517P35 AMAZON.IT LUX (Cover Motorola Ida),,6500
,EasyPark Schweiz GmbH easypark.ch,,5820
,AMAZON* 404-0517327-60 LUXEMBOURG LUX (Motorola Ida),,6500
,HANAMI SUSHI & PIZZERIA CAMPIONE D'ITITA,,6650
,Rist Grotto Serta Lamone,,4402
,Rist Grotto Serta Lamone,,4402
,SendinBlue Paris FRA,,6660
,CHATGPT SUBSCRIPTION HTTPSOPENALCUSA,,6660
,HubSpot Germany GmbH Berlin DEU,,6660
,www.smallinvoice.com Kehrsatz,,6660
,HubSpot Germany GmbH Berlin DEU,,6660
,SendinBlue Paris FRA,,6660
,CHATGPT SUBSCRIPTION HTTPSOPENALCUSA,,6660
,RYANAIR DRH67E0 K67X452 IRL Ryanair,,5820
,HubSpot Germany GmbH Berlin DEU,,6660
,SendinBlue Paris FRA,,6660
,ZOOM.US 888-799-9666 WWW.ZOOM.US USA,,6660
,Tassa annua carta di credito,,6800
,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CUSA,,6660
,HubSpot Germany GmbH Berlin DEU,,6660
,Supplemento CHF all'estero,,6700
,LinkedIn Ads 9718194523 LINKEDIN.COM IRL,,6600
,Supplemento CHF all'estero,,6700
,Supplemento CHF all'estero,,6700
,LinkedIn Ads 9731800503 LINKEDIN.COM IRL,,6600
,AMZN Mktp IT*HF3P611N4 AMAZON.IT LUX (Carta pergamena),,6500
,SendinBlue Paris FRA,,6660
,parcheggio Santa Lucia Massagno Cas,,6500
,Schnitzy S.Ac Massagno,,6650
,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CUSA,,6660
,HubSpot Germany GmbH Berlin DEU,,6660
,TRENITALIA - LEFRECCE ROMA ITA,,5820
,SendinBlue Paris FRA,,6660
,GPT WALLETS SYDNEY AUS,,6660
,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CUSA,,6660
,GPT WALLETS SYDNEY AUS,,6660
,HubSpot Germany GmbH Berlin DEU,,6660
,FACEBK *JWMBF9GMN2 fb.me/ads IRL,,6600
,Supplemento CHF all'estero,,6700
,BOOKING.COM AMSTERDAM NLD,,4402
,Microsoft*Microsoft 365 Pmsbill.info,,6660
,SendinBlue Paris FRA,,6660
,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CUSA,,6660
,GPT WALLETS SYDNEY AUS,,6660
,Supplemento CHF all'estero,,6700
